index,genres,popularity,movie_id,keywords,overview,title,cast,director
860,Drama Romance,22.863516,42297,musical los angeles burlesque burlesque dancer,"The Burlesque Lounge has its best days behind it. Tess, a retired dancer and owner of the venue, struggles to keep the aging theater alive, facing all kinds of financial and artistic challenges. With the Lounge's troupe members becoming increasingly distracted by personal problems and a threat coming from a wealthy businessman's quest to buy the spot from Tess, the good fortune seems to have abandoned the club altogether. Meanwhile, the life of Ali, a small-town girl from Iowa, is about to change dramatically. Hired by Tess as a waitress at the Lounge, Ali escapes a hollow past and quickly falls in love with the art of burlesque. Backed by newfound friends amongst the theater's crew, she manages to fulfill her dreams of being on stage herself. Things take a dramatic turn though when Ali's big voice makes her become the main attraction of the revue",Burlesque,Cher Christina Aguilera Eric Dane Cam Gigandet Julianne Hough,Steve Antin
861,Drama,23.05451,2841,paris prostitute loss of lover amnesia bodily disabled person,"In 1919, Mathilde was 19 years old. Two years earlier, her fiancé Manech left for the front at the Somme. Like millions of others he was ""killed on the field of battle."" It's written in black and white on the official notice. But Mathilde refuses to believe it. If Manech had died, she would know. She hangs on to her intuition as tightly as she would onto the last thread of hope linking her to her lover. A former sergeant tells her in vain that Manech died in the no man's land of a trench named Bingo Crepescule, in the company of four other men condemned to die for self-inflicted wounds. Her path ahead is full of obstacles but Mathilde is not frightened. Anything is possible to someone who is willing to challenge fate...",A Very Long Engagement,Audrey Tautou Gaspard Ulliel Dominique Pinon Chantal Neuwirth Andr\u00e9 Dussollier,Jean-Pierre Jeunet
862,Drama Romance,23.962109,802,sexual obsession hotel depression loss of mother small town,"Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze, he soon becomes obsessed with Lolita, the woman's teenaged daughter.",Lolita,James Mason Sue Lyon Shelley Winters Peter Sellers Lois Maxwell,Stanley Kubrick
863,Action Thriller,12.669778,10375,alcoholism serial killer hospital police officer detox,A disgraced FBI agent with a drinking problem joins nine other troubled law enforcement officers at an isolated detox clinic in the wilds of Wyoming. But the therapeutic sanctuary becomes a nightmarish hellhole when a major snowstorm cuts off the clinic from the outside world and enables a killer on the inside to get busy.,D-Tox,Sylvester Stallone Courtney B. Vance Tom Berenger Charles S. Dutton Jeffrey Wright,Jim Gillespie
864,Fantasy Horror Action Thriller,67.169587,36586,katana mutation vampire silver superhero,"A rare mutation has occurred within the vampire community - The Reaper. A vampire so consumed with an insatiable bloodlust that they prey on vampires as well as humans, transforming victims who are unlucky enough to survive into Reapers themselves. Blade is asked by the Vampire Nation for his help in preventing a nightmare plague that would wipe out both humans and vampires.",Blade II,Wesley Snipes Kris Kristofferson Ron Perlman Leonor Varela Norman Reedus,Guillermo del Toro
865,Drama,41.472404,11321,vegetarian tax collector pianist blind organ transplant,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,Seven Pounds,Will Smith Rosario Dawson Sarah Jane Morris Woody Harrelson Michael Ealy,Gabriele Muccino
866,Action Crime Thriller,22.503935,70074,,"After watching their respective partners die, a cop and a hitman form an alliance in order to bring down their common enemy.",Bullet to the Head,Sylvester Stallone Sung Kang Sarah Shahi Adewale Akinnuoye-Agbaje Jason Momoa,Walter Hill
867,Crime Drama Thriller,59.194915,242,italy christianity new york assassination italo-american,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",The Godfather: Part III,Al Pacino Diane Keaton Andy Garc\u00eda Talia Shire Sofia Coppola,Francis Ford Coppola
868,Comedy Drama Romance,22.894898,9621,suicide hotel room suicide attempt new love funeral,"Drew Baylor is fired after causing his shoe company to lose hundreds of millions of dollars. To make matters worse, he's also dumped by his girlfriend. On the verge of ending it all, Drew gets a new lease on life when he returns to his family's small Kentucky hometown after his father dies. Along the way, he meets a flight attendant with whom he falls in love.",Elizabethtown,Orlando Bloom Kirsten Dunst Susan Sarandon Alec Baldwin Bruce McGill,Cameron Crowe
869,Comedy Romance,18.600367,1819,roommate love of one's life newlywed,"After standing in as best man for his longtime friend Carl Petersen, Randy Dupree loses his job, becomes a barfly and attaches himself to the newlywed couple almost permanently -- as their houseguest. But the longer Dupree camps out on their couch, the closer he gets to Carl's bride, Molly, leaving the frustrated groom wondering when his pal will be moving out.","You, Me and Dupree",Kate Hudson Owen Wilson Matt Dillon Michael Douglas Seth Rogen,Anthony Russo
870,Action Adventure Fantasy Science Fiction,30.515175,8536,saving the world dc comics sequel superhero based on comic book,"Three escaped criminals from the planet Krypton test the Man of Steel's mettle. Led by Gen. Zod, the Kryptonians take control of the White House and partner with Lex Luthor to destroy Superman and rule the world. But Superman, who attempts to make himself human in order to get closer to Lois, realizes he has a responsibility to save the planet.",Superman II,Gene Hackman Christopher Reeve Ned Beatty Jackie Cooper Sarah Douglas,Richard Lester
871,Drama,9.053456,8046,new york mentally disabled kidnapping blackmail mission of murder,"Gigli is ordered to kidnap the psychologically challenged younger brother of a powerful federal prosecutor. When plans go awry, Gigli's boss sends in Ricki, a gorgeous free-spirited female gangster who has her own set of orders to assist with the kidnapping. But Gigli begins falling for the decidedly unavailable Ricki, which could be a hazard to his occupation.",Gigli,Ben Affleck Jennifer Lopez Justin Bartha Lainie Kazan Lenny Venito,Martin Brest
872,Drama Thriller,7.768223,1717,corruption journalist based on novel blackmail manipulation,The story of an idealist's rise to power in the world of Louisiana politics and the corruption that leads to his ultimate downfall. Based on the1946 Pulitzer Prize-winning novel written by Robert Penn Warren.,All the King's Men,Sean Penn Jude Law Kate Winslet James Gandolfini Patricia Clarkson,Steven Zaillian
873,Action Adventure Crime Thriller,19.643365,479,corruption black people italo-american brother sister relationship drug dealer,"New York police detective John Shaft arrests Walter Wade Jr. for a racially motivated slaying. But the only eyewitness disappears, and Wade jumps bail for Switzerland. Two years later Wade returns to face trial, confident his money and influence will get him acquitted -- especially since he's paid a drug kingpin to kill the witness.",Shaft,Samuel L. Jackson Jeffrey Wright Christian Bale Busta Rhymes Dan Hedaya,John Singleton
874,Animation Family,45.565918,9444,tzar musical russian revolution train explosion foreign language adaptation,"This animated adventure retells the story of the lost daughter of Russia's last czar. The evil Rasputin places a curse on the Romanov family, and Anastasia and her grandmother, Empress Maria, get separated. After growing up in an orphanage, Anastasia encounters two Russian men seeking a reward offered by Empress Maria for the return of her granddaughter. The trio travels to Paris, where they find that the empress has grown skeptical of imposters.",Anastasia,Meg Ryan John Cusack Christopher Lloyd Angela Lansbury Hank Azaria,Gary Goldman
875,Drama Music Romance,57.374341,824,duke musical writer's block music terminal illness,"A celebration of love and creative inspiration takes place in the infamous, gaudy and glamorous Parisian nightclub, at the cusp of the 20th century. A young poet, who is plunged into the heady world of Moulin Rouge, begins a passionate affair with the club's most notorious and beautiful star.",Moulin Rouge!,Nicole Kidman Ewan McGregor John Leguizamo Jim Broadbent Richard Roxburgh,Baz Luhrmann
876,Mystery Thriller Crime,8.41856,11456,menace adoption dangerous adoptive father threat to death,A divorced father discovers that his 12-year-old son's new stepfather is not what he made himself out to be.,Domestic Disturbance,John Travolta Vince Vaughn Teri Polo Matt O'Leary Steve Buscemi,Harold Becker
877,Crime Drama,46.049902,261023,boston based on true story organized crime,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",Black Mass,Johnny Depp Joel Edgerton Benedict Cumberbatch Dakota Johnson Kevin Bacon,Scott Cooper
878,War Drama History,23.9366,3683,world war ii dying and death pacific iwo jima aftercreditsstinger,"There were five Marines and one Navy Corpsman photographed raising the U.S. flag on Mt. Suribachi by Joe Rosenthal on February 23, 1945. This is the story of three of the six surviving servicemen – John 'Doc' Bradley, Pvt. Rene Gagnon and Pvt. Ira Hayes, who fought in the battle to take Iwo Jima from the Japanese.",Flags of Our Fathers,Ryan Phillippe Adam Beach Jesse Bradford John Benjamin Hickey John Slattery,Clint Eastwood
879,Drama Crime Thriller,49.593978,22803,tattoo secret passage baseball bat deal explosion,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,Law Abiding Citizen,Jamie Foxx Gerard Butler Colm Meaney Bruce McGill Leslie Bibb,F. Gary Gray
880,Thriller Action Horror,16.637642,285923,exploitation slasher zombie killer,Two full length feature horror movies written by Quentin Tarantino and Robert Rodriguez put together as a two film feature. Including fake movie trailers in between both movies.,Grindhouse,Kurt Russell Zo\u00eb Bell Rosario Dawson Vanessa Ferlito Sydney Tamiia Poitier,Robert Rodriguez
881,Drama Thriller,1.453765,39437,,"After Paul D. finds his old slave friend Sethe in Ohio and moves in with her and her daughter Denver, a strange girl comes along by the name of ""Beloved"". Sethe and Denver take her in and then strange things start to happen...",Beloved,Oprah Winfrey Danny Glover Thandie Newton Lisa Gay Hamilton Albert Hall,Jonathan Demme
882,Drama Romance,6.162872,1950,poker sport las vegas,A professional poker player whose astounding luck at the table fails to translate into his lonesome love life attempts to win the World Series of Poker while simultaneously earning the affections of a beautiful Las Vegas singer.,Lucky You,Eric Bana Drew Barrymore Robert Duvall Debra Messing Robert Downey Jr.,Curtis Hanson
883,Drama Crime,73.944049,640,con man biography fbi agent overhead camera shot attempted jailbreak,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",Catch Me If You Can,Leonardo DiCaprio Tom Hanks Christopher Walken Martin Sheen Nathalie Baye,Steven Spielberg
884,Thriller Drama History,38.306954,97630,assassination cia hotel terrorist prisoner,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L. Team 6 in May, 2011.",Zero Dark Thirty,Jessica Chastain Jason Clarke Mark Strong Joel Edgerton Chris Pratt,Kathryn Bigelow
885,Romance Comedy,26.251217,9767,bowling chicago american football flat baseball,"Cohabitating couple Gary and Brooke find their once-blissful romance on the rocks when petty spats about lemons and dirty dishes mushroom into an all-out battle for custody of their upscale Chicago condo. An escalating argument ensues as Gary and Brooke continue to live under the same roof, all while cooking up schemes to drive each other off the premises.",The Break-Up,Vince Vaughn Jennifer Aniston Joey Lauren Adams Cole Hauser Jon Favreau,Peyton Reed
886,Comedy Romance,30.780599,11631,single parent greece musical daughter single,"Set on an idyllic Greek island, the plot serves as a background for a wealth of ABBA hit songs. Donna, an independent, single mother who owns a small hotel on the island is about to let go of Sophie, the spirited young daughter she's raised alone. But Sophie has secretly invited three of her mother's ex-lovers in the hopes of finding her father.",Mamma Mia!,Meryl Streep Pierce Brosnan Amanda Seyfried Colin Firth Stellan Skarsg\u00e5rd,Phyllida Lloyd
887,Comedy Romance,25.41929,32856,flower married couple florist kiss single,"More than a dozen Angelenos navigate Valentine's Day from early morning until midnight. Three couples awake together, but each relationship will sputter; are any worth saving? A grade-school boy wants flowers for his first true love; two high school seniors plan first-time sex at noon; a TV sports reporter gets the assignment to find romance in LA; a star quarterback contemplates his future; two strangers meet on a plane; grandparents, together for years, face a crisis; and, an ""I Hate Valentine's Day"" dinner beckons the lonely and the lied to. Can Cupid finish his work by midnight?",Valentine's Day,Jessica Alba Jessica Biel Bradley Cooper Eric Dane Patrick Dempsey,Garry Marshall
888,Action Adventure Comedy,15.98212,6519,sheriff farm bikini redneck moonshine,"Cousins, Bo and Luke Duke, with the help of their eye-catching cousin, Daisy and moonshine-running Uncle Jesse, try and save the family farm from being destroyed by Hazzard County's corrupt commissioner, Boss Hogg. Their efforts constantly find the 'Duke Boys' eluding authorities in 'The General Lee', their 1969 orange Dodge Charger that keeps them one step ahead of the dimwitted antics of the small southern town's Sheriff, Roscoe P. Coltrane.",The Dukes of Hazzard,Johnny Knoxville Seann William Scott Jessica Simpson Willie Nelson Burt Reynolds,Jay Chandrasekhar
889,Drama History War,40.072583,8741,based on novel japanese world war ii battle assignment invasion,"Based on the graphic novel by James Jones, The Thin Red Line tells the story of a group of men, an Army Rifle company called C-for-Charlie, who change, suffer, and ultimately make essential discoveries about themselves during the fierce World War II battle of Guadalcanal. It follows their journey, from the surprise of an unopposed landing, through the bloody and exhausting battles that follow, to the ultimate departure of those who survived. A powerful frontline cast - including Sean Penn, Nick Nolte, Woody Harrelson and George Clooney - explodes into action in this hauntingly realistic view of military and moral chaos in the Pacific during World War II.",The Thin Red Line,Sean Penn Adrien Brody Jim Caviezel Ben Chaplin George Clooney,Terrence Malick
890,Comedy,32.015477,49520,jealousy chance wish change man change,"Dave is a married man with two kids and a loving wife , and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain when lightning strikes, they switch bodies.",The Change-Up,Olivia Wilde Ryan Reynolds Jason Bateman Leslie Mann Mircea Monroe,David Dobkin
891,Comedy Drama Romance,24.444186,1850,show business comedian wrestling,"A film about the life and career of the eccentric avant-garde comedian, Andy Kaufman.",Man on the Moon,Jim Carrey Courtney Love Bob Zmuda Danny DeVito Gerry Becker,Milo\u0161 Forman
892,Drama Crime,40.06688,524,poker drug abuse 1970s overdose illegal prostitution,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,Casino,Robert De Niro Sharon Stone Joe Pesci James Woods Don Rickles,Martin Scorsese
893,Action Crime Thriller,27.916284,26389,paris cia undercover explosive pimp,"James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig, working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realizes that Charlie may be his only hope of survival.",From Paris with Love,John Travolta Jonathan Rhys Meyers Kasia Smutniak Richard Durden Bing Yin,Pierre Morel
894,Action Comedy Fantasy,15.20707,11817,monk homeless person injection fall knife fight,"A mysterious and immortal Tibetan kung fu master, who has spent the last 60 years traveling around the world protecting the ancient Scroll of the Ultimate, mentors a selfish street kid in the ancient intricacies of kung fu.",Bulletproof Monk,Seann William Scott Jaime King Karel Roden Chow Yun-fat K. C. Collins,Paul Hunter
895,Comedy,39.001682,2123,schizophrenia ex-cop aftercreditsstinger duringcreditsstinger,"Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.","Me, Myself & Irene",Jim Carrey Ren\u00e9e Zellweger Anthony Anderson Robert Forster Richard Jenkins,Bobby Farrelly
896,Animation Comedy Family,10.430832,9907,peasant farm cow cojote family,"When things get crazy at the farm, it's up to a boisterous bovine named Otis (voiced by Kevin James) to save the day in this computer-animated tale. The animals in this barnyard sing, dance and party, but Otis's stern dad (Sam Elliott) warns the crew to keep their cool around humans. Troublemaker Otis rarely listens to his pop, but when the farmer disappears and the animals go nutty, the young cow realizes he must stop the madness.",Barnyard,Courteney Cox Kevin James Sam Elliott Danny Glover Wanda Sykes,Steve Oedekerk
897,Comedy Family,5.952527,9969,holiday massachusetts neighbor christmas,Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,Deck the Halls,Danny DeVito Matthew Broderick Kristin Davis Kristin Chenoweth Fred Armisen,John Whitesell
898,Adventure Fantasy Drama Romance,94.815867,18239,moon cinema vampire werewolf fang vamp,"Forks, Washington resident Bella Swan is reeling from the departure of her vampire love, Edward Cullen, and finds comfort in her friendship with Jacob Black, a werewolf. But before she knows it, she's thrust into a centuries-old conflict, and her desire to be with Edward at any cost leads her to take greater and greater risks.",The Twilight Saga: New Moon,Kristen Stewart Robert Pattinson Taylor Lautner Billy Burke Ashley Greene,Chris Weitz
899,Adventure Animation Comedy Family Fantasy,67.298732,808,magic liberation lordship castle robin hood,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",Shrek,Mike Myers Eddie Murphy Cameron Diaz John Lithgow Vincent Cassel,Andrew Adamson
900,Science Fiction Thriller Romance,26.60772,38050,hotel dancer hat senator future,"A man glimpses the future Fate has planned for him – and chooses to fight for his own destiny. Battling the powerful Adjustment Bureau across, under and through the streets of New York, he risks his destined greatness to be with the only woman he's ever loved.",The Adjustment Bureau,Matt Damon Emily Blunt John Slattery Anthony Mackie Lauren Hodges,George Nolfi
901,Adventure,28.803729,8367,england crusade mercifulness robin hood folk hero,"When the dastardly Sheriff of Nottingham murders Robin's father, the legendary archer vows vengeance. To accomplish his mission, Robin joins forces with a band of exiled villagers (and comely Maid Marian), and together they battle to end the evil sheriff's reign of terror.",Robin Hood: Prince of Thieves,Kevin Costner Morgan Freeman Christian Slater Mary Elizabeth Mastrantonio Alan Rickman,Kevin Reynolds
902,Comedy Drama Romance,27.039636,9390,stadium career sport sports agent,"Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he's really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player.",Jerry Maguire,Tom Cruise Cuba Gooding Jr. Ren\u00e9e Zellweger Kelly Preston Alison Armitage,Cameron Crowe
903,Comedy Fantasy,68.87691,72105,friendship love teddy bear toy comes to life wishes come true,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",Ted,Mark Wahlberg Mila Kunis Seth MacFarlane Joel McHale Giovanni Ribisi,Seth MacFarlane
904,Comedy Romance,37.885022,2898,single parent waitress lone wolf friendship neighbor,"New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",As Good as It Gets,Jack Nicholson Helen Hunt Greg Kinnear Cuba Gooding Jr. Skeet Ulrich,James L. Brooks
905,Comedy Drama,35.537397,10312,nurse hospital doctor laughter,"Meet Patch Adams, a doctor who doesn't look, act or think like any doctor you've met before. For Patch, humor is the best medicine, and he's willing to do just anything to make his patients laugh - even if it means risking his own career.",Patch Adams,Robin Williams Philip Seymour Hoffman Bob Gunton Peter Coyote Michael Jeter,Tom Shadyac
906,Comedy,38.125008,109443,journalism mustache tv news newsroom gang warfare,"With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.",Anchorman 2: The Legend Continues,Will Ferrell Steve Carell Paul Rudd Christina Applegate David Koechner,Adam McKay
907,Comedy Romance,18.121404,2022,love letter new hampshire ferrari liar city country contrast,"When Longfellow Deeds, a small-town pizzeria owner and poet, inherits $40 billion from his deceased uncle, he quickly begins rolling in a different kind of dough. Moving to the big city, Deeds finds himself besieged by opportunists all gunning for their piece of the pie. Babe, a television tabloid reporter, poses as an innocent small-town girl to do an exposé on Deeds.",Mr. Deeds,Adam Sandler Winona Ryder John Turturro Allen Covert Peter Gallagher,Steven Brill
908,Thriller Science Fiction Mystery,37.069253,37686,1970s secret alien train crash pistol,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",Super 8,Joel Courtney Elle Fanning Riley Griffiths Kyle Chandler Ryan Lee,J.J. Abrams
909,Drama,30.347332,462,biography based on true story single mother water pollution environmental law,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",Erin Brockovich,Julia Roberts Albert Finney Aaron Eckhart Marg Helgenberger Cherry Jones,Steven Soderbergh
910,Comedy Romance,23.854701,9919,new york bet journalist therapist advertising expert,"An advice columnist, Andie Anderson (Kate Hudson), tries pushing the boundaries of what she can write about in her new piece about how to get a man to leave you in 10 days. Her editor, Lana (Bebe Neuwirth), loves it, and Andie goes off to find a man she can use for the experiment. Enter executive Ben Berry (Matthew McConaughey), who is so confident in his romantic prowess that he thinks he can make any woman fall in love with him in 10 days. When Andie and Ben meet, their plans backfire.",How to Lose a Guy in 10 Days,Kate Hudson Matthew McConaughey Kathryn Hahn Annie Parisse Adam Goldberg,Donald Petrie
911,Crime Comedy Action,52.380982,187017,high school undercover cop buddy comedy aftercreditsstinger duringcreditsstinger,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",22 Jump Street,Jonah Hill Channing Tatum Dave Franco Ice Cube Nick Offerman,Phil Lord
912,Horror Romance,50.163785,628,paris san francisco vampire plantation pity,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",Interview with the Vampire,Brad Pitt Tom Cruise Kirsten Dunst Antonio Banderas Christian Slater,Neil Jordan
913,Comedy,43.849351,10201,bungee-jump scooter,Carl Allen has stumbled across a way to shake free of post-divorce blues and a dead-end job: embrace life and say yes to everything.,Yes Man,Jim Carrey Zooey Deschanel Rhys Darby Sasha Alexander Fionnula Flanagan,Peyton Reed
914,Action Comedy,45.318703,302699,spy cia espionage high school reunion reference to facebook,"After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.",Central Intelligence,Dwayne Johnson Kevin Hart Amy Ryan Aaron Paul Danielle Nicolet,Rawson Marshall Thurber
915,Drama Romance,16.368283,9441,divorce rebellious daughter freeze frame custody school play,"Jackie is a divorced mother of two. Isabel is the career minded girlfriend of Jackie’s ex-husband Luke, forced into the role of unwelcome stepmother to their children. But when Jackie discovers she is ill, both women realise they must put aside their differences to find a common ground and celebrate life to the fullest, while they have the chance.",Stepmom,Julia Roberts Susan Sarandon Ed Harris Jena Malone Liam Aiken,Chris Columbus
916,Comedy,38.616744,274167,daddys home,"The story of a mild-mannered radio executive (Ferrell) who strives to become the best stepdad ever to his wife's two children, but complications ensue when their freewheeling, freeloading real father arrives, forcing stepdad to compete for the affection of the kids.",Daddy's Home,Will Ferrell Mark Wahlberg Linda Cardellini Thomas Haden Church Scarlett Estevez,Sean Anders
917,Fantasy Comedy Music,65.90161,224141,witch cinderella prince fairy tale musical,"In a woods filled with magic and fairy tale characters, a baker and his wife set out to end the curse put on them by their neighbor, a spiteful witch.",Into the Woods,Meryl Streep Emily Blunt James Corden Anna Kendrick Chris Pine,Rob Marshall
918,Crime Drama Thriller,45.220386,388,bank manager kidnapping nazi background document ultimatum,"Bank robber Dalton Russell enters a Manhattan bank, locks the doors and takes hostages, working methodically and without haste. Detective Frazier is assigned to negotiate, but his mind is occupied with the corruption charges he is facing. With an army of police surrounding the bank, the thief, the cop and a high-profile 'fixer' enter high-stakes negotiations.",Inside Man,Denzel Washington Clive Owen Jodie Foster Christopher Plummer Willem Dafoe,Spike Lee
919,Drama Action Thriller Crime,17.457947,2112,new york heroin money criminal,"With friends like these, who needs enemies? That's the question bad guy Porter is left asking after his wife and partner steal his heist money and leave him for dead -- or so they think. Five months and an endless reservoir of bitterness later, Porter's partners and the crooked cops on his tail learn how bad payback can be.",Payback,Mel Gibson Kris Kristofferson Gregg Henry Maria Bello David Paymer,Brian Helgeland
920,Action Adventure Drama Mystery Science Fiction,10.755847,10329,gorilla kongo diamond mine diamond,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.",Congo,Laura Linney Dylan Walsh Ernie Hudson Tim Curry Grant Heslov,Frank Marshall
921,Drama Comedy Family,38.629763,74465,zoo,"Benjamin has lost his wife and, in a bid to start his life over, purchases a large house that has a zoo – welcome news for his daughter, but his son is not happy about it. The zoo is need of renovation and Benjamin sets about the work with the head keeper and the rest of the staff, but, the zoo soon runs into financial trouble.",We Bought a Zoo,Matt Damon Scarlett Johansson Thomas Haden Church Colin Ford Maggie Elizabeth Jones,Cameron Crowe
922,Action Adventure Drama Mystery Science Fiction,32.693093,13811,cataclysm code suspense end of the world time capsule,A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,Knowing,Nicolas Cage Rose Byrne Chandler Canterbury Ben Mendelsohn Nadia Townsend,Alex Proyas
923,Comedy,18.806031,6877,hotel mom romantic comedy lying living with parents pretend relationship,"Tripp, an attractive man in his thirties, is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy, however, and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result.",Failure to Launch,Matthew McConaughey Sarah Jessica Parker Zooey Deschanel Justin Bartha Bradley Cooper,Tom Dey
924,Drama Horror Thriller,32.233713,10320,nun based on novel bath tub nightmare son,Rachel Keller must prevent evil Samara from taking possession of her son's soul.,The Ring Two,Naomi Watts Simon Baker Elizabeth Perkins David Dorfman Gary Cole,Hideo Nakata
925,Comedy Drama Romance,37.990705,50646,soulmates midlife crisis marriage crisis womanizer law school,"Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.","Crazy, Stupid, Love.",Steve Carell Julianne Moore Ryan Gosling Emma Stone Marisa Tomei,Glenn Ficarra
926,Animation Comedy Family,17.667826,8920,competition moderator lasagne garfield,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn't want. Competition.",Garfield,Bill Murray Breckin Meyer Jennifer Love Hewitt Stephen Tobolowsky Evan Arnold,Peter Hewitt
927,Comedy Family,9.225166,13673,holiday christmas,"Luther Krank is fed up with the commerciality of Christmas; he decides to skip the holiday and go on a vacation with his wife instead. But when his daughter decides at the last minute to come home, he must put together a holiday celebration.",Christmas with the Kranks,Tim Allen Jamie Lee Curtis Dan Aykroyd M. Emmet Walsh Elizabeth Franz,Joe Roth
928,Drama,46.180421,60308,underdog based on novel baseball teamwork sport,"The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.",Moneyball,Brad Pitt Jonah Hill Philip Seymour Hoffman Robin Wright Chris Pratt,Bennett Miller
929,Action Drama Science Fiction Thriller,30.397496,6950,river general research army serum,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",Outbreak,Dustin Hoffman Rene Russo Morgan Freeman Kevin Spacey Cuba Gooding Jr.,Wolfgang Petersen
930,Action Thriller Mystery,83.295796,225574,airplane conspiracy airplane crash cell phone hijack,"Bill Marks is a burned-out veteran of the Air Marshals service. He views the assignment not as a life-saving duty, but as a desk job in the sky. However, today's flight will be no routine trip. Shortly into the transatlantic journey from New York to London, he receives a series of mysterious text messages ordering him to have the government transfer $150 million into a secret account, or a passenger will die every 20 minutes.",Non-Stop,Liam Neeson Julianne Moore Scoot McNairy Michelle Dockery Nate Parker,Jaume Collet-Serra
